StateFIPCode,ZipCode,StateAbbr,City,Longitude,Latitude,Population,AllocationPercentage
08,81043,CO,HARTMAN,102.18660900,38.14529100,256,.0000780000
08,81044,CO,CADDOA,102.93314500,38.10734700,263,.0000800000
08,81045,CO,HASWELL,103.15054300,38.44743100,109,.0000330000
08,81047,CO,HOLLY,102.14146600,38.02050000,1480,.0004490000
08,81049,CO,VILLEGREEN,103.35834800,37.33118900,389,.0001180000
08,81050,CO,TIMPAS,103.54906800,37.99155200,11742,.0035640000
08,81052,CO,LAMAR,102.61919500,38.08413600,9903,.0030060000
08,81054,CO,DEORA,103.20849200,38.06551400,4217,.0012800000
08,81055,CO,CUCHARA,105.01299400,37.49829200,1234,.0003750000
08,81057,CO,MC CLAVE,102.81693400,38.15048400,568,.0001720000
08,81058,CO,MANZANOLA,103.87660200,38.11086100,961,.0002920000
08,81059,CO,DELHI,104.13074000,37.47853300,237,.0000720000
08,81062,CO,OLNEY SPRINGS,103.94103300,38.20187700,706,.0002140000
08,81063,CO,ORDWAY,103.80027700,38.20954600,2692,.0008170000
08,81064,CO,UTLEYVILLE,102.89310600,37.35588500,383,.0001160000
08,81067,CO,ROCKY FORD,103.72514300,38.04901600,5946,.0018050000
08,81069,CO,RYE,104.88625700,37.93714500,2369,.0007190000
08,81071,CO,TOWNER,102.29536700,38.46217200,162,.0000490000
08,81073,CO,SPRINGFIELD,102.61732200,37.40672700,1992,.0006050000
08,81076,CO,SUGAR CITY,103.65555700,38.24436800,400,.0001210000
08,81080,CO,81080,102.10826800,38.43839100,172,.0000520000
08,81081,CO,TRINCHERA,104.11835400,37.07566200,21,.0000060000
08,81082,CO,JANSEN,104.50071500,37.17547500,10978,.0033320000
08,81084,CO,LYCAN,102.32012800,37.57476000,183,.0000560000
08,81087,CO,VILAS,102.44374000,37.37304300,145,.0000440000
08,81089,CO,FARISTA,104.80430100,37.63815900,4347,.0013200000
08,81090,CO,WALSH,102.25371600,37.35205700,1366,.0004150000
08,81091,CO,WESTON,104.82474900,37.17021100,1094,.0003320000
08,81092,CO,WILEY,102.71473400,38.15897800,711,.0002160000
08,81101,CO,ALAMOSA,105.87860200,37.47027400,12580,.0038190000
08,81120,CO,ANTONITO,106.03794600,37.08547300,2246,.0006820000
08,81121,CO,ARBOLES,107.39074900,37.10163300,587,.0001780000
08,81122,CO,BAYFIELD,107.61372800,37.26032800,3866,.0011740000
08,81123,CO,BLANCA,105.51778400,37.43170200,429,.0001300000
08,81125,CO,CENTER,106.09062800,37.73429500,4419,.0013410000
08,81130,CO,CREEDE,106.92767900,37.81636700,558,.0001690000
08,81132,CO,LA GARITA,106.35050200,37.67134600,2791,.0008470000
08,81133,CO,FORT GARLAND,105.40487900,37.42697800,725,.0002200000
08,81136,CO,HOOPER,105.87119300,37.72320300,265,.0000800000
08,81137,CO,IGNACIO,107.63946500,37.12641200,3494,.0010610000
08,81140,CO,LA JARA,106.00542700,37.29072600,2274,.0006900000
08,81143,CO,MOFFAT,105.84105100,38.04519500,737,.0002240000
08,81144,CO,MONTE VISTA,106.14083300,37.57309500,6041,.0018340000
08,81146,CO,MOSCA,105.80686600,37.63579600,399,.0001210000
08,81147,CO,PAGOSA SPRINGS,107.03849700,37.25234500,4758,.0014440000
08,81149,CO,SAGUACHE,106.18759200,38.09775000,895,.0002720000
08,81150,CO,SAN ACACIO,105.43994900,37.20134700,1146,.0003480000
08,81151,CO,SANFORD,105.92858800,37.20872400,3037,.0009220000
08,81152,CO,MESITA,105.57562500,37.05057000,252,.0000760000
08,81153,CO,SAN PABLO,105.34619600,37.13487200,638,.0001940000
08,81154,CO,SOUTH FORK,106.61245100,37.67248000,722,.0002190000
08,81155,CO,VILLA GROVE,106.11018300,38.29520000,53,.0000160000
08,81201,CO,SALIDA,105.99781800,38.52590900,7658,.0023250000
08,81210,CO,ALMONT,106.62709900,38.64997000,150,.0000460000
08,81211,CO,BUENA VISTA,106.14712100,38.83800300,5220,.0015850000
08,81212,CO,CANON CITY,105.21782900,38.44507400,23049,.0069960000
08,81220,CO,CIMARRON,107.48236600,38.38763300,84,.0000250000
08,81224,CO,CRESTED BUTTE,106.96189900,38.86908100,1750,.0005310000
08,81226,CO,FLORENCE,105.12323300,38.38501600,4461,.0013540000
08,81228,CO,GRANITE,106.31141700,39.09529400,79,.0000240000
08,81230,CO,GUNNISON,106.93101300,38.55105600,7814,.0023720000
08,81233,CO,HOWARD,105.74712400,38.38851900,485,.0001470000
08,81235,CO,LAKE CITY,107.30203700,37.98676900,467,.0001420000
08,81236,CO,NATHROP,106.11657600,38.71034300,440,.0001340000
08,81239,CO,PARLIN,106.67799500,38.50876200,67,.0000200000
08,81240,CO,PENROSE,105.01132500,38.43362200,3166,.0009610000
08,81241,CO,PITKIN,106.51677400,38.60854200,53,.0000160000
08,81243,CO,POWDERHORN,107.10844900,38.28216500,11,.0000030000
08,81250,CO,81250,105.53182500,38.39555600,467,.0001420000
08,81251,CO,TWIN LAKES,106.43507900,39.09023100,49,.0000150000
08,81252,CO,WESTCLIFFE,105.43315400,38.12302300,1569,.0004760000
08,81253,CO,WETMORE,105.10644100,38.18985700,357,.0001080000
08,81301,CO,DURANGO,107.86168400,37.28738800,23506,.0071350000
08,81320,CO,CAHONE,108.57944200,37.69163000,384,.0001170000
08,81321,CO,CORTEZ,108.58372600,37.35494900,11937,.0036230000
08,81323,CO,DOLORES,108.47174800,37.46657100,1770,.0005370000
08,81324,CO,DOVE CREEK,108.91814700,37.76319900,1120,.0003400000
08,81325,CO,EGNAR,108.92988900,37.93444800,119,.0000360000
08,81326,CO,HESPERUS,108.12191700,37.16536800,1303,.0003960000
08,81327,CO,LEWIS,108.61891000,37.47101000,1455,.0004420000
08,81328,CO,MANCOS,108.29824200,37.34713300,2141,.0006500000
08,81331,CO,PLEASANT VIEW,108.80948700,37.58876300,223,.0000680000
08,81334,CO,TOWAOC,108.71999300,37.20840800,1135,.0003450000
08,81335,CO,YELLOW JACKET,108.78516700,37.49952600,126,.0000380000
08,81401,CO,MONTROSE,107.87518200,38.46783000,17834,.0054130000
08,81410,CO,AUSTIN,107.97384000,38.79754400,1258,.0003820000
08,81411,CO,BEDROCK,108.95322400,38.38435200,191,.0000580000
08,81413,CO,CEDAREDGE,107.92678600,38.91187800,3254,.0009880000
08,81415,CO,CRAWFORD,107.61486400,38.69408000,882,.0002680000
08,81416,CO,DELTA,108.06042100,38.73489100,8644,.0026240000
08,81418,CO,ECKERT,107.96245200,38.84498200,1211,.0003680000
08,81419,CO,HOTCHKISS,107.74717300,38.81241700,2735,.0008300000
08,81422,CO,NATURITA,108.57283600,38.22255900,554,.0001680000
08,81423,CO,NORWOOD,108.28447200,38.11040600,1079,.0003280000
08,81424,CO,NUCLA,108.54764400,38.26821900,1135,.0003450000
08,81425,CO,OLATHE,107.99211800,38.59757500,4246,.0012890000
08,81426,CO,OPHIR,107.85196100,37.85619700,138,.0000420000
08,81427,CO,OURAY,107.67261000,38.02576000,686,.0002080000
08,81428,CO,PAONIA,107.59848300,38.86497800,3314,.0010060000
08,81430,CO,PLACERVILLE,108.02477500,38.00875900,467,.0001420000
08,81431,CO,REDVALE,108.38953600,38.18645200,409,.0001240000
08,81432,CO,RIDGWAY,107.75334100,38.13807400,1299,.0003940000
08,81433,CO,SILVERTON,107.66668600,37.80899500,745,.0002260000
08,81434,CO,SOMERSET,107.37814500,38.94680100,180,.0000550000
08,81435,CO,TELLURIDE,107.82137100,37.94002800,1850,.0005620000
08,81501,CO,GRAND JUNCTION,108.54569200,39.07832600,19665,.0059690000
08,81503,CO,GRAND JUNCTION,108.57560900,39.05677700,20467,.0062130000
08,81504,CO,FRUITVALE,108.48909400,39.08313600,16754,.0050860000
08,81505,CO,GRAND JUNCTION,108.59683400,39.10709700,4877,.0014800000
08,81506,CO,GRAND JUNCTION,108.54911000,39.10320900,7471,.0022680000
